Desire-Expression-Sentence,Prior-Context,Post-Context,Fulfillment-Label,Fulfillment-Agreement-Score,Evidence,Evidence-Overlap-Score,Desire-Verbal-Pattern
"For Saturday morning's activity, I decided to organize a small team for trekking the nice and simple route of Kranji Memorial trek once again.","Ah, it's the weekend again. This has become a sort of weekend blog, hasn't it?","However, as the weather gods would have it, I woke up to ominous looking skies. Soon, it started pouring and one by one, people decided to back out. Finally, only Jane, Felix, Jervais and I were left. But hey, the weather turned out to be really awsome! Raving to go, people!",Fulfilled,2,"Finally, only Jane, Felix, Jervais and I were left. But hey, the weather turned out to be really awsome! But hey, the weather turned out to be really awsome! Raving to go, people! But hey, the weather turned out to be really awsome! Raving to go, people! ",3,decided to
"Also, I had super intentions of going to bed at like 9 tonight, but then matt IMed me wanted to talk, and the Sox/Yanks game was on, and I still haven't decided what I am going to wear tomorrow because again, I was under the impression that tomorrow was Friday and I could wear jeans because it was casual day.","It was hectic. Then on top of that the one and ONLY day I have ever worn a skirt and pantyhose to work, I had to spend the afternoon crawling on the floor under my desk plugging shit in. I am not a dressy person, I don't like dresses and skirts. I would much rather wear pants, and I certainly do not like pantyhoes or stockings of any kind. But I live in the south, and ladies are expected to wear them if they are showing any leg at all, it is just not socially acceptable in my office not to do so.","But no, tricksters and all, it's Thursday so I have to pull one more nice outfit and heels out of my ass for another day. And I have to come up with it now, because I am not to be trusted to do so in a timely manner in the mornings. I just am beginning to hate getting dressed more and more each day.",Unfulfilled,2,"but then matt IMed me wanted to talk, and the Sox/Yanks game was on, and I still haven't decided what I am going to wear tomorrow ",2,wanted to
"Eventually, I just decided to speak, and I can't even remember what I said, but people were very happy and proud of me for saying what I wanted to say.","Being a groomsman, I really didn't get the chance. Christine, however, was a shutterbug, even managing to capture the wedding ceremony on video as well as many of the speeches. The cake was wonderful - it was delivered with the curls to be added later, so of course it was up to me to make it look wonderful - I had many people coming up to me and asking me if I made the cake. Well, no, but I'm thinking about it... I wasn't included in the lsit of people for speeches, which initially was fine by me, but I had a small impromtu speech ready in case it was thrust upon me. However, as time went on people started asking me when my speech was.","I am, too.",Fulfilled,3,"people were very happy and proud of me for saying what I wanted to say. I just decided to speak, and I can't even remember what I said, but people were very happy and proud of me I just decided to speak, and I can't even remember what I said, but people were very happy and proud of me ",2,decided to
I decided to construct him one from a star Wars valance I found at a thrift store for a little less than $3.,"Before justice started school I had an idea to make him a new tote bag. His school prefers him to bring a tote bag rather than a book bag, and while I did have his from last year (which I only recently noticed definitely needed to be replaced)","I hadn't sewn in years (probably since that disastrous Twister mat dress) so I was extremely rusty. Since I was preparing for Hurricane Hanna and was bracing myself for the worst, I chose to start Friday evening on the tote. Logan was sent out for felt, which I needed to create a ""J"" to personalize his tote. Logan came home with a little ""starter sewing kit"" and a silver metallic ribbon for the trim on the tote. Logan did cut out the pieces for me due to his anal-obsessive nature.",Fulfilled,2,I chose to start Friday evening on the tote ,0,decided to
I was under the impression that 1ECTS credit would be counted as 1 credit back in Japan so I decided to take courses totalling 20 credits...,So for some reason (I dunno wad),"And when I told my other European/russian friends that I only had to do 20 ECTS, they were really envious because everyone was doing at least 30 and they all had crappy days with like 8 hours of lessons straight... and I was happily looking at my extremely free days, planning little trips and what-not... But I met Mayumi today me: Mayumi: ECTS me: Mayumi: 70/40=1.75 which means I have to take an average of 31.5 ECTS per sem... So after desperately searching for more courses, my final selection looks like this Economic, social and cultural rights under international human rights law Political Communication",Unfulfilled,2,I have to take an average of 31.5 ECTS per sem 70/40=1.75 which means I have to take an average of 31.5 ECTS per sem 70/40=1.75 which means I have to take an average of 31.5 ECTS per sem ,3,decided to
He decided to help me get my own so we saved up a couple of pocketfuls of crispy M&ms and were going to sell them to this giant Walmart thrift store in order to get enough money to buy me one.,"But I've had two recently that have stuck with me. One involved a girl I knew in high school, Ashley Brooks. I was helping her paint a dresser pink and purple and we kept running into all kinds of problems with where to stop one color and start the next and how to keep the paint from peeling off. While I'm not sure what this really means, I gotta say that it was nice to see her again even if I didn't really see her. Last night I dreamed that I was jealous of the guitar amp given to my brother Chris by my parents.","While we were there, unfortunately, my sculpture teacher, who was shopping there with her infant son, confiscated my precious sack of second hand M&ms so my brother and I settled for browsing the store's selection of old-timey deep sea diving suits. This was unmistakeably the greatest store ever! Of course, my brother really has no use for a guitar amp, nor do I for that matter, and my sculpture teacher doesn't have any children. But it was still I suprisingly vivid dream.",Unfulfilled,2,While we were there I settled for browsing the store's selection of old-timey deep sea diving suits I settled for browsing the store's selection of old-timey deep sea diving suits ,2,decided to
"I had a big ego, I wanted to be different, I thought everyone was my enemy and I could beat all of them.","This is a favor nobody can give even if I want it to take anything I could afford. When I regret it, realize it, or want to change it, it is always too late. I dont want this happen to me again. It could be misunderstanding, miscommunication or just my cocky skin deep attitude trying to save my silly face. I prayed once but I did not mean it.","God, I was wrong and please take care of me through all this. This time I mean it, and hopefully it is not too late. I will try my best to make my life better, be good to my family, be good to my friends and to the people around me. I will stop complaining, stop cursing, I will try to be a better man. God, please help me, to be a better man.",Unknown from the context,2,None,2,wanted to
"After waiting for 2 mths, I gave up and decided to buy the HTC Diamond Plus but they told me no more English version and not sure when will have stock.","Some of you might have heard that I sold my HTC TyTN II 3 months ago. I wanted to get the new iPhone 3g when it was released but I only can get it if I subscribe to the line, which I don't need. I just got my new line in Dec and it's still under contract till next year.","Argh! Then that day, I was checking out my friend's phone and found it rather ok. He told me I can get 10% off cos HSBC was having promotion but last day la. So I quickly call Paul and asked him to help me to buy from Central. Finally, I got a new phone - Samsung TouchWiz F488!!!",Unfulfilled,2,"I gave up Finally, I got a new phone - Samsung TouchWiz F488 Finally, I got a new phone - Samsung TouchWiz F488 ",2,decided to
I stayed cuddled up with Kirsty most of the night and I decided to take over Mike's bed since he was such a bad host (he had disappeared with Ashley for about an hour) and go to sleep.,"Slipknot hoodie and jeans. There was a lot of public transporting mishap with catching the wrong bus and missing the meet up with Lauren and then veering off of the main road headed into suburbia. Jason climbed up a bus stop sign and I put too much vodka in a bottle of coke, but eventually we got Lauren and ran to our bus that was at traffic lights, jumped on and arrived at Mike's at about 9pm. The party didn't pick up much at all and eventually I gave up on drinking the cheap vodka mixed with multi-V juice and watched Bridget Jones ""Edge of reason"" instead. More people rocked up at about 11pm and I knew them but watching Mike fondle with Ashley had put me off socialising.",I awoke early morning when Kirsty had left the bed and I tried to go back to sleep but everyone said they wanted to go home. So we skipped the idea of catching two buses and walked a little bit to catch the main bus.,Fulfilled,2,I awoke early morning when Kirsty had left the bed ,2,decided to
"She surprised me by taking me to the prince William County Fair over on Dumfries Road- we'd both been kind of stressed with work, and decided to just get out to something different.","Well, my wife and I did.","It was kind of like the Fairfax fair, but just in a different locale. It was 'Dollar night', which got us in the gate for a buck a head; about 30 minutes and $12 later, we were having our pictures taken with sea lions from their live animal show (named Kim and Stella- I'll have to see if I can scan the pic in for posting later). We smelled like fish for awhile after. Toured around a bit, and had some fried oreos (mm-mm, healthy!). Getting out was much easier than getting in traffic-wise... came home, and helped build the music mix for the 80s party my wife is having with her girlfriends this weekend.",Fulfilled,3,"It was kind of like the Fairfax fair, but just in a different locale She surprised me by taking me to the prince William County Fair She surprised me by taking me to the prince William County Fair ",2,decided to
